"ID","year","gender","agegroup","region","population","d_log_CVD_mort_100k","log_CVD_mort_100k","d_CVD_mort_100k","CVD_mort_100k","CVD_deaths","d_log_CVD_costs_100k","log_CVD_costs_100k","d_CVD_costs_100k","CVD_costs_100k","CVD_costs_100k_sq","d_CVD_costs_100k_sq","CVD_costs_sum","d_lag_log_CVD_costs_100k","lag_log_CVD_costs_100k","d_lag_CVD_costs_100k","lag_CVD_costs_100k","lag_CVD_costs_100k_sq","d_lag_CVD_costs_100k_sq","d_log_cancer_mort_100k","log_cancer_mort_100k","d_cancer_mort_100k","cancer_mort_100k","d_log_cancer_costs_100k","log_cancer_costs_100k","d_cancer_costs_100k","cancer_costs_100k","cancer_costs_sum","cancer_deaths","d_lag_log_cancer_costs_100k","lag_log_cancer_costs_100k","d_lag_cancer_costs_100k","lag_cancer_costs_100k"
"39","1","Male","20-24","HH",53232,NA,0.641853886172395,NA,1.9,1,NA,13.2592600368764,NA,573354.820408777,328735750085.981,NA,305208.238,NA,13.0962050197306,NA,487090.404193316,237257061857.208,NA,NA,1.7227665977411,NA,5.6,NA,13.6131890667638,NA,816832.281334536,434816.16,3,NA,13.6288924253533,NA,829760.534382924
"39","2","Male","20-24","HH",52381,0.693147180559945,1.33500106673234,1.9,3.8,2,0.103015530631323,13.3622755675078,62213.9430741655,635568.763482942,403947653115.236,75211903029.2556,332917.274,0.131519606670755,13.2277246264013,68465.5587730416,555555.962966358,308642427987.477,71385366130.269,0.305381649551182,2.02814824729229,2,7.6,0.0902108818586687,13.7033999486225,77113.0919878521,893945.373322388,468257.526,4,0.114589364809017,13.7434817901623,100743.5924848,930504.126867724
"39","3","Male","20-24","HH",52392,0,1.33500106673234,0,3.8,2,-0.324726640082341,13.0375489274254,-176227.398389035,459341.365093908,210994489686.334,-192953163428.902,240658.128,-0.130829423122936,13.0968952032784,-68129.2609495036,487426.702016854,237584789839.027,-71057638148.45,-0.693147180559945,1.33500106673234,-3.8,3.8,-0.0439906597432671,13.6594092888792,-38472.8202608518,855472.553061536,448199.18,2,-0.732298055063909,13.0111837350984,-483115.129613676,447388.997254048
"39","4","Male","20-24","HH",55901,NA,NA,-3.8,0,0,0.501889898660833,13.5394388260862,299417.136542915,758758.501636822,575714463806.156,364719974119.821,424153.59,1.10626785793708,14.2031630612155,986090.950700798,1473517.65271765,2171254272870.54,1933669483031.51,-0.747214401830221,0.587786664902119,-2,1.8,0.0326055262639287,13.6920148151432,28352.8507773936,883825.40383893,494067.239,1,0.952803627807111,13.9639873629055,712676.892411842,1160065.88966589
"40","1","Male","25-29","HH",68736,NA,1.48160454092422,NA,4.4,3,NA,13.3637422203782,NA,636501.606145251,405134294625.485,NA,437505.744,NA,13.3058811787648,NA,600718.176211454,360862327230.815,NA,NA,1.48160454092422,NA,4.4,NA,13.9434340287671,NA,1136466.02653631,781161.288,3,NA,13.8786599814924,NA,1065185.99118943
"40","2","Male","25-29","HH",64081,0.34294475112683,1.82454929205105,1.8,6.2,4,0.405583005527616,13.7693252259058,318363.372553583,954864.978698834,911767127545.525,506632832920.04,611887.027,0.420886468596855,13.7267676473616,314362.624696124,915080.800907577,837372872189.653,476510544958.838,0.0659579677917974,1.54756250871601,0.3,4.7,-0.0714441049846393,13.8719899237824,-78361.2450878334,1058104.78144848,678044.125,3,0.0707819739849604,13.9494419554774,78128.3915548157,1143314.38274424
"40","3","Male","25-29","HH",67757,-0.725937003382936,1.09861228866811,-3.2,3,2,0.225346409093953,13.9946716349998,241348.432461636,1196213.41116047,1430926525040.17,519159397494.644,810518.321,-0.0579356122738268,13.6688320350878,-51509.2496121937,863571.551295384,745755824206.716,-91617047982.9377,-0.448950220047903,1.09861228866811,-1.7,3,0.0168808660685364,13.8888707898509,18013.3377126406,1076118.11916112,729145.354,2,-0.0851206676039489,13.8643212878734,-93292.7884954754,1050021.59424877
"40","4","Male","25-29","HH",73171,-0.105360515657826,0.993251773010283,-0.3,2.7,2,-0.199713564474767,13.794958070525,-216556.135737147,979657.275423324,959728377289.849,-471198147750.319,716825.025,0.0624259443899007,13.7312579794777,55627.5055700808,919199.056865465,844926906142.359,99171081935.6439,0.606135803570315,1.70474809223843,2.5,5.5,-0.211235242350071,13.6776355475009,-204910.542388901,871207.576772218,637471.296,4,0.0619715145608506,13.9262928024343,67130.0201756428,1117151.61442441
"41","1","Male","30-34","HH",71429,NA,1.7227665977411,NA,5.6,4,NA,13.8648718995528,NA,1050599.90760055,1103760165850.29,NA,750433.008,NA,13.7085198982998,NA,898534.065560777,807363466973.178,NA,NA,1.7227665977411,NA,5.6,NA,13.9715911666894,NA,1168920.42447745,834948.17,4,NA,13.8001437276211,NA,984750.636924645
"41","2","Male","30-34","HH",68063,0.745332933730516,2.46809953147162,6.2,11.8,8,0.465553722795393,14.3304256223482,622896.448716387,1673496.35631694,2800590054606.08,1696829888755.79,1139031.825,0.13395238393891,13.8424722822387,128794.414707208,1027328.48026798,1055403806369.73,248040339396.548,0.451985123743057,2.17475172148416,3.2,8.8,-0.325163345392733,13.6464278212966,-324481.390053464,844439.03442399,574750.54,6,0.0160025154665462,13.8161462430877,15885.2502893413,1000635.88721399
"41","3","Male","30-34","HH",71233,-1.43848011429046,1.02961941718116,-9,2.8,2,-0.259380383441234,14.0710452389069,-382344.565714272,1291151.79060267,1667072946376.48,-1133517108229.6,919726.155,0.119959359033146,13.9624316412719,130934.072905403,1158262.55317339,1341572142083.74,286168335714.009,-1.145132304303,1.02961941718116,-6,2.8,0.306186976392581,13.9526147976892,302508.665378068,1146947.69980206,817005.255,2,0.0248250087939681,13.8409712518816,25151.6985724127,1025787.5857864
"41","4","Male","30-34","HH",74603,1.04982212449868,2.07944154167984,5.2,8,6,0.0187795953132621,14.0898248342202,24476.4173782421,1315628.20798091,1730877581635.07,63804635258.5852,981498.112,0.227338970400018,14.1897706116719,295652.644162711,1453915.1973361,2113869401044.87,772297258961.133,1.04982212449868,2.07944154167984,5.2,8,-0.21978251670742,13.7328322809818,-226300.406797755,920647.293004303,686830.5,6,0.0104336752159622,13.8514049270976,10758.7636322374,1036546.34941864
"42","1","Male","35-39","HH",76687,NA,2.2082744135228,NA,9.1,7,NA,14.3126068582607,NA,1643940.82308605,2702541429808.84,NA,1260688.899,NA,14.3391416925452,NA,1688146.42078128,2849838337996.65,NA,NA,2.83321334405622,NA,17,NA,13.7789850060051,NA,964133.458082856,739365.025,13,NA,14.2426439433751,NA,1532857.10886377
"42","2","Male","35-39","HH",61751,0.356674943938732,2.56494935746154,3.9,13,8,0.43898557054438,14.751592428805,906029.881841804,2549970.70492786,6502350595990.26,3799809166181.42,1574632.41,0.254507348922479,14.5936490414676,489268.775430008,2177415.19621129,4741136936691.85,1891298598695.2,-0.152191815341925,2.68102152871429,-2.4,14.6,0.26838123443159,14.0473662404367,296804.282196653,1260937.74027951,778641.664,9,-0.17689366248759,14.0657502808875,-248523.844952099,1284333.26391167
"42","3","Male","35-39","HH",64399,0.0741079721537217,2.63905732961526,1,14,9,-0.0635313475669843,14.688061081238,-156964.20948538,2393006.49544248,5726480087229.88,-775870508760.384,1541072.253,0.211729682112869,14.8053787235805,513464.502285952,2690879.69849724,7240833551784.6,2499696615092.76,-0.292258739479193,2.3887627892351,-3.7,10.9,-0.0400410239265359,14.0073252165102,-49491.7752800533,1211445.96499946,780159.087,7,-0.0765350681304913,13.989215212757,-94629.1234006083,1189704.14051106
