"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"d_lag_CVD_costs_100k","pseries, numeric",1675,0.252232142857143,1676,1809954.35636708,413838.907868813,413838.907868813,NA,3394005.45530425,NA,-13637201.9897337,26616072.0450643,40253274.034798,2.19775134278686,18.3767520907588,7.35996600903117,30.7888919054086,NA,NA
"lag_CVD_costs_100k","numeric",2235,0.00223214285714286,2236,22592932.6015468,5976472.25432343,5976472.25432343,NA,29199121.6100979,NA,122127.456763391,124777098.279731,124654970.822967,1.2468228850409,12.0400723951077,0.351701341204572,1.69887717852285,NA,NA
"d_log_cancer_mort_100k","pseries, numeric",1536,0.314285714285714,1481,-0.0557166951006698,-0.0377403279828471,-0.0377403279828471,NA,0.356806360658639,NA,-2.07614664578298,2.15176220325946,4.22790884904244,-0.388903010646821,-3.11425958698895,7.30864111517704,29.2820460349514,NA,NA
"log_cancer_mort_100k","numeric",2110,0.0580357142857143,1483,4.45852532500591,4.85358880646004,4.85358880646004,NA,2.37709744005905,NA,-0.693147180559945,8.0740573682868,8.76720454884675,-0.215879957475476,-2.02561243262958,-1.35446448117066,-6.3575048818227,NA,NA
"d_cancer_mort_100k","pseries, numeric",1680,0.25,1203,-10.341130952381,-1.6,-1.6,NA,67.2292646466274,NA,-472.4,499.4,971.8,-0.202112182850594,-1.69250038336402,13.8609591438781,58.0706717685128,NA,NA
"cancer_mort_100k","numeric",2240,0,1483,471.681339285714,87.1,87.1,NA,693.956948517489,NA,0,3210.1,3210.1,1.68754348654466,16.3141293877766,2.13525492892544,10.3257559532016,NA,NA
"d_log_cancer_costs_100k","pseries, numeric",1612,0.280357142857143,1613,0.0630271402539315,0.0669618891546193,0.0669618891546193,NA,0.282495437681714,NA,-2.6484828067518,2.15391449547795,4.80239730222975,-0.910380289408654,-7.46798301470131,16.7618463996897,68.7923925682763,NA,NA
"log_cancer_costs_100k","numeric",2197,0.0191964285714286,2198,15.4081724848252,15.6413969763994,15.6413969763994,NA,1.41391845771136,NA,11.9066208922595,17.6284553485736,5.72183445631402,-0.177398533264794,-1.69846129419816,-1.39278957604266,-6.67049554787201,NA,NA
"d_cancer_costs_100k","pseries, numeric",1612,0.280357142857143,1613,771518.853878678,352050.141013653,352050.141013653,NA,1513349.90902811,NA,-5578061.73145633,13741791.0103243,19319852.7417807,1.52526994869691,12.5120130589622,6.18474875362231,25.3828637997314,NA,NA
"cancer_costs_100k","numeric",2197,0.0191964285714286,2198,10731297.7142997,6208295.72856391,6208295.72856391,NA,11060618.1685891,NA,148244.896640827,45283593.414605,45135348.5179642,0.95165960368182,9.11144513068142,-0.212388114654399,-1.01719168321784,NA,NA
"d_lag_log_cancer_costs_100k","pseries, numeric",1621,0.276339285714286,1622,0.07243610823237,0.0672531804583194,0.0672531804583194,NA,0.308627836522667,NA,-2.05886999429211,2.67031256812467,4.72918256241678,0.602950981796627,4.95985788580154,14.8310771672673,61.037469768085,NA,NA
"lag_log_cancer_costs_100k","numeric",2189,0.0227678571428571,2190,15.3844294984244,15.6463829784884,15.6463829784884,NA,1.42140037247637,NA,11.5471628812897,17.6241188665345,6.07695598524476,-0.20023359691048,-1.91360154207918,-1.35982522312303,-6.50077798800093,NA,NA
"d_lag_cancer_costs_100k","pseries, numeric",1621,0.276339285714286,1622,703185.410255744,320634.187573601,320634.187573601,NA,1349266.76965097,NA,-4224493.01155216,9295326.9433709,13519819.9549231,1.63221065303533,13.4265191087742,5.43240266462504,22.3571160523609,NA,NA
"lag_cancer_costs_100k","numeric",2189,0.0227678571428571,2190,10499830.5709142,6239327.60224077,6239327.60224077,NA,10770574.4386511,NA,103483.026315789,45087647.0910186,44984164.0647028,0.934011851551842,8.92620692544872,-0.252563877305978,-1.20740641240946,NA,NA
