"year","region","gender","agegroup","CVD_deaths","cancer_deaths","resp_deaths","overall_deaths","population","CVD_mort_100k","cancer_mort_100k","resp_mort_100k","overall_mort_100k","overall_avg_cost_case","overall_N","CVD_avg_cost_case","CVD_N","cancer_avg_cost_case","cancer_N","resp_avg_cost_case","resp_N","overall_costs_100k","CVD_costs_100k","cancer_costs_100k","resp_costs_100k","overall_hospcases_100k","CVD_hospcases_100k","cancer_hospcases_100k","resp_hospcases_100k","log_overall_costs_100k","log_CVD_costs_100k","log_cancer_costs_100k","log_resp_costs_100k","log_overall_mort_100k","log_CVD_mort_100k","log_cancer_mort_100k","log_resp_mort_100k","overall_costs_sum","CVD_costs_sum","cancer_costs_sum","resp_costs_sum","id"
"2010","RP","Female","65-69",244,499,77,1001,108757,224.3,458.8,70.8,920.4,3661.075,33394,3771.686,6495,4433.629,4678,3461.836,1350,112413857.085061,22524619.6290813,19070511.7482093,4297174.98643765,30705.1500133325,5972.02938661419,4301.33232803406,1241.29941061265,18.5376977715,16.9301194747048,16.7636538124661,15.2734683848597,6.82480835816121,5.41298444152616,6.12861438525522,4.25985900069967,122257938.55,24497100.57,20740516.462,4673478.6,"1920"
"2010","RP","Female","70-74",615,785,130,1925,124935,492.2,628.3,104.1,1540.8,3817.215,47144,4147.561,10375,4432.836,5042,3549.871,1816,144041928.971065,34442666.486573,17889589.8763357,5159935.7553928,37734.8221074959,8304.31824548765,4035.69856325289,1453.5558490415,18.7856149885677,17.3548066586432,16.6997295304785,15.456434686875,7.34005704104386,6.19888513795696,6.4430177594089,4.64535197562092,179958783.96,43030945.375,22350359.112,6446565.736,"1921"
"2010","RP","Female","75-79",1052,739,215,2588,89263,1178.5,827.9,240.9,2899.3,3906.41,42796,4274.409,10472,4511.914,3773,3491.117,1858,187287815.063352,50145761.4554743,19071117.3969058,7266723.48677504,47943.7168815747,11731.6245252792,4226.83530690208,2081.48953093667,19.0481571095765,17.7304445514619,16.763685570349,15.7988160583416,7.97222460752755,7.07199772237619,6.71889237414476,5.48438190962083,167178722.36,44761611.048,17023451.522,6486495.386,"1922"
"2010","RP","Female","80-84",2165,880,328,4353,75146,2881.1,1171.1,436.5,5792.7,3721.433,42601,4100.698,11156,4737.204,2869,3493.663,2060,210971664.803183,60878006.6643601,18086176.6108642,9577283.92728821,56690.9749021904,14845.7669070875,3817.90115242328,2741.33021052351,19.1672343923903,17.9243825289377,16.7106584812943,16.0749045948522,8.6643537831166,7.96592744465222,7.06569875704809,6.07878837527966,158536767.233,45747386.888,13591038.276,7196945.78,"1923"
"2010","RP","Female","85-89",3228,782,365,5852,49939,6463.9,1565.9,730.9,11718.3,3560.501,32421,4011.593,8696,4795.97,1595,3283.242,1966,231152011.295781,69854848.3710126,15317832.0551072,12925476.6254831,64921.2038687198,17413.2441578726,3193.89655379563,3936.80289953744,19.2585861096186,18.0619300524397,16.5445282014999,16.3747108539251,9.36890700141552,8.77398812978424,7.3562160175514,6.59427665148635,115435002.921,34884812.728,7649572.15,6454853.772,"1924"
"2010","RP","Female","90+",2815,337,303,4583,21798,12914,1546,1390,21024.9,3246.51758253411,12825,3569.07455389572,3414,4058.43177777778,432,2884.99518407446,967,191011046.866685,55898800.4725204,8043134.81970823,12798377.5713368,58835.6729975227,15661.9873382879,1981.83319570603,4436.186806129,19.0678418213368,17.8390534794429,15.9003294681115,16.3648289686168,9.95346272858727,9.46606727318641,7.34342622914737,7.23705902612474,41636587.996,12184820.527,1753242.528,2789790.343,"1925"
"2010","BW","Male","<1",4,1,1,159,46288,8.6,2.2,2.2,343.5,2278.179,58185,7755.744,111,8497.378,77,2299.249,2952,286371943.30064,1859850.46664362,1413537.2148289,14663375.0604908,125702.125820947,239.802972692707,166.349809885932,6377.46284134117,19.4728020249163,14.43600664818,14.1616057839113,16.500863450333,5.8391871116624,2.15176220325946,0.78845736036427,0.78845736036427,132555845.115,860887.584,654298.106,6787383.048,"1926"
"2010","BW","Male","1-14",7,15,2,92,741935,0.9,2,0.3,12.4,2037.45493761312,54146,2793.10971861472,693,5532.81994719472,1212,1746.7361522197,11871,14869231.8130294,260888.761818758,903822.811432268,2794787.26074387,7297.94388996341,93.4044087420057,163.356628276062,1600.00539130786,16.5148046569156,12.4718493955277,13.71438861511,14.8432665474505,2.51769647261099,-0.105360515657826,0.693147180559945,-1.20397280432594,110320035.052,1935625.035,6705777.776,20735504.863,"1927"
"2010","BW","Male","15-19",6,11,2,120,313316,1.9,3.5,0.6,38.3,2153.96,23359,2983.73,593,4633.071,601,1967.944,2326,16058660.1514126,564718.01312413,888711.610961457,1460965.20573479,7455.41242707043,189.265789171316,191.819121908872,742.381493444318,16.5917588353197,13.2440817937251,13.6975280647492,14.1946078750726,3.6454498961866,0.641853886172395,1.25276296849537,-0.510825623765991,50314351.64,1769351.89,2784475.671,4577437.744,"1928"
"2010","BW","Male","20-24",9,11,0,147,333333,2.7,3.3,0,44.1,2261.802,23616,3713.748,681,6169.884,498,1985.394,2567,16024430.8340308,758719.475119475,921781.591381591,1528953.44835345,7084.80708480708,204.300204300204,149.400149400149,770.10077010077,16.5896250427631,13.5393873900615,13.7340635887736,14.2400940386357,3.7864597824528,0.993251773010283,1.19392246847243,NA,53414716.032,2529062.388,3072602.232,5096506.398,"1929"
