"ID","year","region","gender","agegroup","population","d_log_CVD_mort_100k","d_CVD_mort_100k","d_log_CVD_costs_100k","d_CVD_costs_100k","d_lag_log_CVD_costs_100k","d_lag_CVD_costs_100k","d_log_cancer_mort_100k","d_cancer_mort_100k","d_log_cancer_costs_100k","d_cancer_costs_100k","d_lag_log_cancer_costs_100k","d_lag_cancer_costs_100k"
"397","2014","BB","Male","60-64",91421,-0.182321556793955,-65.2,0.00840153542819166,316928.909538873,0.0869951449616373,3129815.57817875,-0.0943329780265998,-48.8,0.055197182604882,1334071.92496539,0.0248923438607882,577953.618692763
"397","2015","BB","Male","60-64",94902,0.162702961642576,57.6,-0.0319861678599977,-1192508.0073439,0.00840153542819166,316928.909538873,0.122165606808155,64.1,-0.00148406405823565,-36840.3328565285,0.055197182604882,1334071.92496539
"397","2016","BB","Male","60-64",96629,-0.0320514788514696,-12.1,0.102956243397067,3978652.58550178,-0.0319861678599977,-1192508.0073439,-0.0256214614903705,-14.1,0.0467028997948304,1185968.95121764,-0.00148406405823565,-36840.3328565285
"397","2017","BB","Male","60-64",97621,-0.0325565615603489,-11.9,0.00547948485842298,223448.954981431,0.102956243397067,3978652.58550178,-0.0569960208159959,-30.0999999999999,0.00265448345895436,69085.6700801477,0.0467028997948304,1185968.95121764
"398","2007","BB","Male","65-69",91402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","2008","BB","Male","65-69",89487,0.0469775070649083,30.1,0.0641428009063958,2843860.9213724,NA,NA,-0.103328933095561,-82.6,-0.0284273408470135,-876914.316407654,NA,NA
"398","2009","BB","Male","65-69",86110,-0.104023130469366,-64.8,-0.0107727211479585,-490458.955522358,0.0641428009063958,2843860.9213724,-0.0348654247009392,-26,-0.0161332356027444,-486694.322682053,-0.0284273408470135,-876914.316407654
"398","2010","BB","Male","65-69",78793,-0.0146560223904686,-8.60000000000002,0.00459145229014979,208393.113147624,-0.0107727211479585,-490458.955522358,0.0566351692566736,42.7,0.00123554950929972,36996.0436276719,-0.0161332356027444,-486694.322682053
"398","2011","BB","Male","65-69",67319,-0.093886301296771,-52.2,0.0255874213628573,1179029.12308826,0.00459145229014979,208393.113147624,0.0374585106893415,29.6,0.0282080651272807,857188.623614833,0.00123554950929972,36996.0436276719
"398","2012","BB","Male","65-69",60058,0.0415533883103754,22.5,0.0652984978514581,3149213.73299528,0.0255874213628573,1179029.12308826,-0.0454854828410465,-35.8000000000001,-0.042020461720643,-1268183.65071944,0.0282080651272807,857188.623614833
