"ID","year","gender","agegroup","region","population","d_log_CVD_mort_100k","d_CVD_mort_100k","CVD_mort_100k","CVD_deaths","d_log_CVD_costs_100k","d_CVD_costs_100k","CVD_costs_100k","CVD_costs_sum","d_lag_log_CVD_costs_100k","d_lag_CVD_costs_100k","d_log_cancer_mort_100k","d_cancer_mort_100k","cancer_deaths","d_log_cancer_costs_100k","d_cancer_costs_100k","cancer_costs_sum","d_lag_log_cancer_costs_100k","d_lag_cancer_costs_100k"
"18","2017","Male","2","HH",129072,-0.716014185886405,-1.62120509358188,1.54952274699393,2,-0.268894888667237,-272725.28268335,883986.158888062,1140978.615,0.584782224083058,512160.364628215,0.893423726547695,2.28844294719691,5,-0.258729709278343,-258867.015044799,1131538.535,0.525740354409102,464302.099490544
"19","2007","Male","2","NI",446543,NA,NA,4.47885198066032,20,NA,NA,740977.051482164,3308781.155,NA,NA,NA,NA,27,NA,NA,3444728.44,NA,NA
"19","2008","Male","2","NI",449320,-0.229343179816749,-0.917915454353899,3.56093652630642,16,0.0389562704921484,29435.3252204087,770412.376702573,3461616.891,NA,NA,-0.306304220952877,-1.5952795160084,20,-0.0131769431039483,-10098.2979577375,3420777.141,NA,NA
"19","2009","Male","2","NI",452999,0.397310518906454,1.73708841414599,5.29802494045241,24,0.183722360994937,155378.419082848,925790.795785421,4193823.047,0.0389562704921484,29435.3252204087,0.254209675265781,1.28835636094042,26,0.0776786794759037,61496.1261748953,3727363.056,-0.0131769431039483,-10098.2979577375
"19","2010","Male","2","NI",457412,-0.35453508480387,-1.58146306625584,3.71656187419657,17,-0.176483804905175,-149781.51356283,776009.282222591,3549559.578,0.183722360994937,155378.419082848,-0.132296920604473,-0.711237424322205,23,-0.00229508026841785,-1886.27086703596,3755046.041,0.0776786794759037,61496.1261748953
"19","2011","Male","2","NI",441983,-0.0263115251287889,-0.0965131392904737,3.62004873490609,16,0.120277351499738,99181.4420812844,875190.724303876,3868194.219,-0.176483804905175,-149781.51356283,-0.105448845687512,-0.50322867586862,20,0.149673025409616,132543.256444896,4214202.95,-0.00229508026841785,-1886.27086703596
"19","2012","Male","2","NI",446985,0.0493710046124689,0.183210882307012,3.80325961721311,17,0.0599138066542135,54038.6751166865,929229.399420562,4153516.031,0.120277351499738,99181.4420812844,0.288850975246372,1.51541023811761,27,0.0452502807051296,44136.1233138359,4459177.683,0.149673025409616,132543.256444896
"19","2013","Male","2","NI",454315,-0.546894004108541,-1.60214365141845,2.20111596579466,10,0.00276341461304419,2571.39738341724,931800.79680398,4233310.79,0.0599138066542135,54038.6751166865,-0.0540060810292176,-0.317569645684117,26,-0.102774075616471,-97435.9937991552,4089636.335,0.0452502807051296,44136.1233138359
"19","2014","Male","2","NI",463596,0.510405557811402,1.46586994435125,3.6669859101459,17,-0.0217992726070122,-20092.7799099598,911708.01689402,4226641.898,0.00276341461304419,2571.39738341724,-0.0202226932507688,-0.114570119078259,26,0.288184580561357,300662.073849225,5567039.053,-0.102774075616471,-97435.9937991552
"19","2015","Male","2","NI",482965,-0.571558955020324,-1.59644249602687,2.07054341411904,10,0.00594896026627545,5439.87953739869,917147.896431418,4429503.338,-0.0217992726070122,-20092.7799099598,-0.0409307039581532,-0.224918515278359,26,-0.191353582016863,-209137.384226927,4789569.086,0.288184580561357,300662.073849225
