"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"log_overall_costs_100k","numeric",6160,0,6160,18.0295891887588,17.8679757328265,17.8679757328265,NA,0.98755015968285,NA,16.1851619624855,19.7969046262197,3.61174266373418,0.109874802751222,1.76071295617617,-1.40920797477777,-11.2929123904024,NA,NA
"log_CVD_costs_100k","numeric",6150,0.00162337662337662,6151,15.6506377946235,15.6188425680924,15.6188425680924,NA,1.86127093842883,NA,11.7128205059361,18.6420394896861,6.92921898374999,-0.0319662852589052,-0.511835018429078,-1.38348710758498,-11.0777987507905,NA,NA
"log_cancer_costs_100k","numeric",6018,0.0230519480519481,6019,15.3982310412603,15.658668753357,15.658668753357,NA,1.41439830828278,NA,11.4729459696469,17.6284553485736,6.15550937892662,-0.193298876943389,-3.06166741139537,-1.37391055414896,-10.8825135061507,NA,NA
"log_resp_costs_100k","numeric",6160,0,6160,15.2335788647792,14.9944647466025,14.9944647466025,NA,1.00191946653645,NA,13.4117605160612,17.4189305756687,4.00717005960757,0.342537835249622,5.48907292120565,-1.225990175818,-9.82466739814612,NA,NA
"log_overall_mort_100k","numeric",6158,0.000324675324675325,4510,5.84171387583833,5.77981596797426,5.77981596797426,NA,2.16133221402881,NA,0.641853886172395,10.1813995528872,9.53954566671476,0.154060583805699,2.46837711531989,-0.978131285164825,-7.83713918849036,NA,NA
"log_CVD_mort_100k","numeric",5654,0.0821428571428571,3136,4.30071737338636,4.1843373107203,4.1843373107203,NA,2.78361562462245,NA,-2.30258509299405,9.79626975764696,12.098854850641,0.120436434203214,1.84903590160918,-1.05117694997628,-8.07067746705586,NA,NA
"log_cancer_mort_100k","numeric",5803,0.0579545454545455,3443,4.4652386034618,4.88582764350291,4.88582764350291,NA,2.37416719418451,NA,-1.20397280432594,8.1332645008386,9.33723730516453,-0.22080366235834,-3.43430731208471,-1.34447925069253,-10.4575927958361,NA,NA
"log_resp_mort_100k","numeric",5032,0.183116883116883,2244,3.17349798861449,3.19867311755068,3.19867311755068,NA,2.46421557181568,NA,-2.30258509299405,7.76612024385267,10.0687053368467,0.0159489031611597,0.23100688319123,-1.16615374950733,-8.4470698637169,NA,NA
"overall_costs_sum","numeric",6160,0,6160,103110505.827833,56759161.954,56759161.954,NA,132597066.803955,NA,2763843.632,1154781630.855,1152017787.223,3.05522414204851,48.9591116091189,12.2652652572893,98.2896552352092,NA,NA
"CVD_costs_sum","numeric",6150,0.00162337662337662,6151,21822086.1992494,6408783.139,6408783.139,NA,38028913.7652957,NA,6163.032,365512912.32,365506749.288,3.48680488873063,55.8297227853481,16.0865073143701,128.807192820743,NA,NA
